prodid,category,date,sales
PT-00166,Heart related,1/1/2007,770
PT-00166,Heart related,2/1/2007,2639
PT-00166,Heart related,3/1/2007,2609
PT-00166,Heart related,4/1/2007,2009
PT-00166,Heart related,5/1/2007,3401
PT-00166,Heart related,6/1/2007,2721
PT-00166,Heart related,7/1/2007,2798
PT-00166,Heart related,8/1/2007,2700
PT-00166,Heart related,9/1/2007,4575
PT-00166,Heart related,10/1/2007,4974
PT-00166,Heart related,11/1/2007,6000
PT-00166,Heart related,12/1/2007,2300
PT-09217,Vitamins,1/1/2007,7500
PT-09217,Vitamins,2/1/2007,7300
PT-09217,Vitamins,3/1/2007,9000
PT-09217,Vitamins,4/1/2007,11242
PT-09217,Vitamins,5/1/2007,14424
PT-09217,Vitamins,6/1/2007,13500
PT-09217,Vitamins,7/1/2007,19067
PT-09217,Vitamins,8/1/2007,7682
PT-09217,Vitamins,9/1/2007,7519
PT-09217,Vitamins,10/1/2007,13636
PT-09217,Vitamins,11/1/2007,9800
PT-09217,Vitamins,12/1/2007,10180
PT-36608,Enema,1/1/2007,5250
PT-36608,Enema,2/1/2007,3681
PT-36608,Enema,3/1/2007,8578
PT-36608,Enema,4/1/2007,7320
PT-36608,Enema,5/1/2007,10570
PT-36608,Enema,6/1/2007,11120
PT-36608,Enema,7/1/2007,10800
PT-36608,Enema,8/1/2007,4850
PT-36608,Enema,9/1/2007,6097
PT-36608,Enema,10/1/2007,13073
PT-36608,Enema,11/1/2007,8400
PT-36608,Enema,12/1/2007,3000
PT-43000,Skin fungus,1/1/2007,3432
PT-43000,Skin fungus,2/1/2007,10852
PT-43000,Skin fungus,3/1/2007,22437
PT-43000,Skin fungus,4/1/2007,21156
PT-43000,Skin fungus,5/1/2007,26573
PT-43000,Skin fungus,6/1/2007,23224
PT-43000,Skin fungus,7/1/2007,28800
PT-43000,Skin fungus,8/1/2007,24709
PT-43000,Skin fungus,9/1/2007,48500
PT-43000,Skin fungus,10/1/2007,40120
PT-43000,Skin fungus,11/1/2007,47900
PT-43000,Skin fungus,12/1/2007,11082
PT-43505,Flu,1/1/2007,5775
PT-43505,Flu,2/1/2007,6652
PT-43505,Flu,3/1/2007,12708
PT-43505,Flu,4/1/2007,7905
PT-43505,Flu,5/1/2007,9938
PT-43505,Flu,6/1/2007,11087
PT-43505,Flu,7/1/2007,8447
PT-43505,Flu,8/1/2007,8239
PT-43505,Flu,9/1/2007,12365
PT-43505,Flu,10/1/2007,13867
PT-43505,Flu,11/1/2007,12120
PT-43505,Flu,12/1/2007,5400
PT-55608,Flu,1/1/2007,7860
PT-55608,Flu,2/1/2007,11502
PT-55608,Flu,3/1/2007,10223
PT-55608,Flu,4/1/2007,6132
PT-55608,Flu,5/1/2007,10500
PT-55608,Flu,6/1/2007,9141
PT-55608,Flu,7/1/2007,6200
PT-55608,Flu,8/1/2007,9663
PT-55608,Flu,9/1/2007,8520
PT-55608,Flu,10/1/2007,13756
PT-55608,Flu,11/1/2007,14183
PT-55608,Flu,12/1/2007,4489
PT-63206,Stomach Protectors,1/1/2007,2736
PT-63206,Stomach Protectors,2/1/2007,2694
PT-63206,Stomach Protectors,3/1/2007,3570
PT-63206,Stomach Protectors,4/1/2007,3600
PT-63206,Stomach Protectors,5/1/2007,4070
PT-63206,Stomach Protectors,6/1/2007,3776
PT-63206,Stomach Protectors,7/1/2007,3546
PT-63206,Stomach Protectors,8/1/2007,3587
PT-63206,Stomach Protectors,9/1/2007,5040
PT-63206,Stomach Protectors,10/1/2007,4560
PT-63206,Stomach Protectors,11/1/2007,4040
PT-63206,Stomach Protectors,12/1/2007,1775
PT-63354,Stomach Protectors,1/1/2007,3175
PT-63354,Stomach Protectors,2/1/2007,7957
PT-63354,Stomach Protectors,3/1/2007,8520
PT-63354,Stomach Protectors,4/1/2007,7494
PT-63354,Stomach Protectors,5/1/2007,6281
PT-63354,Stomach Protectors,6/1/2007,8612
PT-63354,Stomach Protectors,7/1/2007,5616
PT-63354,Stomach Protectors,8/1/2007,6274
PT-63354,Stomach Protectors,9/1/2007,6597
PT-63354,Stomach Protectors,10/1/2007,7515
PT-63354,Stomach Protectors,11/1/2007,15900
PT-63354,Stomach Protectors,12/1/2007,1344
PT-71804,Stomach Protectors,1/1/2007,1130
PT-71804,Stomach Protectors,2/1/2007,1442
PT-71804,Stomach Protectors,3/1/2007,3848
PT-71804,Stomach Protectors,4/1/2007,1088
PT-71804,Stomach Protectors,5/1/2007,1500
PT-71804,Stomach Protectors,6/1/2007,1355
PT-71804,Stomach Protectors,7/1/2007,2501
PT-71804,Stomach Protectors,8/1/2007,1656
PT-71804,Stomach Protectors,9/1/2007,1889
PT-71804,Stomach Protectors,10/1/2007,2156
PT-71804,Stomach Protectors,11/1/2007,2577
PT-71804,Stomach Protectors,12/1/2007,500
PT-71812,Flu,1/1/2007,2494
PT-71812,Flu,2/1/2007,2910
PT-71812,Flu,3/1/2007,4385
PT-71812,Flu,4/1/2007,3295
PT-71812,Flu,5/1/2007,2500
PT-71812,Flu,6/1/2007,6302
PT-71812,Flu,7/1/2007,5548
PT-71812,Flu,8/1/2007,2762
PT-71812,Flu,9/1/2007,1196
PT-71812,Flu,10/1/2007,2294
PT-71812,Flu,11/1/2007,1777
PT-71812,Flu,12/1/2007,2200
PT-71836,Pain Killer,1/1/2007,17956
PT-71836,Pain Killer,2/1/2007,20004
PT-71836,Pain Killer,3/1/2007,36133
PT-71836,Pain Killer,4/1/2007,54914
PT-71836,Pain Killer,5/1/2007,38395
PT-71836,Pain Killer,6/1/2007,37599
PT-71836,Pain Killer,7/1/2007,30500
PT-71836,Pain Killer,8/1/2007,48627
PT-71836,Pain Killer,9/1/2007,88760
PT-71836,Pain Killer,10/1/2007,96735
PT-71836,Pain Killer,11/1/2007,50400
PT-71836,Pain Killer,12/1/2007,4746
PT-71837,Pain Killer,1/1/2007,2224
PT-71837,Pain Killer,2/1/2007,3470
PT-71837,Pain Killer,3/1/2007,2463
PT-71837,Pain Killer,4/1/2007,2463
PT-71837,Pain Killer,5/1/2007,7500
PT-71837,Pain Killer,6/1/2007,3644
PT-71837,Pain Killer,7/1/2007,3162
PT-71837,Pain Killer,8/1/2007,2268
PT-71837,Pain Killer,9/1/2007,3600
PT-71837,Pain Killer,10/1/2007,3286
PT-71837,Pain Killer,11/1/2007,7050
PT-71837,Pain Killer,12/1/2007,1673
PT-71838,Pain Killer,1/1/2007,2030
PT-71838,Pain Killer,2/1/2007,3500
PT-71838,Pain Killer,3/1/2007,3056
PT-71838,Pain Killer,4/1/2007,1645
PT-71838,Pain Killer,5/1/2007,3628
PT-71838,Pain Killer,6/1/2007,2741
PT-71838,Pain Killer,7/1/2007,3125
PT-71838,Pain Killer,8/1/2007,2730
PT-71838,Pain Killer,9/1/2007,2795
PT-71838,Pain Killer,10/1/2007,4514
PT-71838,Pain Killer,11/1/2007,4038
PT-71838,Pain Killer,12/1/2007,500
PT-71839,Sleeping Pills,1/1/2007,1529
PT-71839,Sleeping Pills,2/1/2007,2144
PT-71839,Sleeping Pills,3/1/2007,2997
PT-71839,Sleeping Pills,4/1/2007,1700
PT-71839,Sleeping Pills,5/1/2007,1680
PT-71839,Sleeping Pills,6/1/2007,2300
PT-71839,Sleeping Pills,7/1/2007,2030
PT-71839,Sleeping Pills,8/1/2007,2680
PT-71839,Sleeping Pills,9/1/2007,1788
PT-71839,Sleeping Pills,10/1/2007,3157
PT-71839,Sleeping Pills,11/1/2007,3070
PT-71839,Sleeping Pills,12/1/2007,1775
PT-71840,Laxative,1/1/2007,3124
PT-71840,Laxative,2/1/2007,21800
PT-71840,Laxative,3/1/2007,16723
PT-71840,Laxative,4/1/2007,13659
PT-71840,Laxative,5/1/2007,7300
PT-71840,Laxative,6/1/2007,11294
PT-71840,Laxative,7/1/2007,7918
PT-71840,Laxative,8/1/2007,8266
PT-71840,Laxative,9/1/2007,7325
PT-71840,Laxative,10/1/2007,8080
PT-71840,Laxative,11/1/2007,17186
PT-71840,Laxative,12/1/2007,1300
PT-71841,Laxative,1/1/2007,8400
PT-71841,Laxative,2/1/2007,18000
PT-71841,Laxative,3/1/2007,14627
PT-71841,Laxative,4/1/2007,13600
PT-71841,Laxative,5/1/2007,18369
PT-71841,Laxative,6/1/2007,14000
PT-71841,Laxative,7/1/2007,9670
PT-71841,Laxative,8/1/2007,12108
PT-71841,Laxative,9/1/2007,17572
PT-71841,Laxative,10/1/2007,18500
PT-71841,Laxative,11/1/2007,34500
PT-71841,Laxative,12/1/2007,4500
PT-71842,Soy Lecithin,1/1/2007,1520
PT-71842,Soy Lecithin,2/1/2007,1640
PT-71842,Soy Lecithin,3/1/2007,2089
PT-71842,Soy Lecithin,4/1/2007,2800
PT-71842,Soy Lecithin,5/1/2007,2948
PT-71842,Soy Lecithin,6/1/2007,3720
PT-71842,Soy Lecithin,7/1/2007,1983
PT-71842,Soy Lecithin,8/1/2007,1520
PT-71842,Soy Lecithin,9/1/2007,2360
PT-71842,Soy Lecithin,10/1/2007,3970
PT-71842,Soy Lecithin,11/1/2007,7280
PT-71842,Soy Lecithin,12/1/2007,900
PT-71843,Soy Lecithin,1/1/2007,1012
PT-71843,Soy Lecithin,2/1/2007,2496
PT-71843,Soy Lecithin,3/1/2007,2890
PT-71843,Soy Lecithin,4/1/2007,2114
PT-71843,Soy Lecithin,5/1/2007,2883
PT-71843,Soy Lecithin,6/1/2007,2846
PT-71843,Soy Lecithin,7/1/2007,3814
PT-71843,Soy Lecithin,8/1/2007,2331
PT-71843,Soy Lecithin,9/1/2007,5123
PT-71843,Soy Lecithin,10/1/2007,3500
PT-71843,Soy Lecithin,11/1/2007,6500
PT-71843,Soy Lecithin,12/1/2007,1460
PT-71847,Vitamins,1/1/2007,4218
PT-71847,Vitamins,2/1/2007,17325
PT-71847,Vitamins,3/1/2007,18196
PT-71847,Vitamins,4/1/2007,10381
PT-71847,Vitamins,5/1/2007,11488
PT-71847,Vitamins,6/1/2007,14659
PT-71847,Vitamins,7/1/2007,10500
PT-71847,Vitamins,8/1/2007,11036
PT-71847,Vitamins,9/1/2007,9000
PT-71847,Vitamins,10/1/2007,13200
PT-71847,Vitamins,11/1/2007,31203
PT-71847,Vitamins,12/1/2007,6900
PT-71848,Vitamins,1/1/2007,8000
PT-71848,Vitamins,2/1/2007,16282
PT-71848,Vitamins,3/1/2007,13082
PT-71848,Vitamins,4/1/2007,12946
PT-71848,Vitamins,5/1/2007,12300
PT-71848,Vitamins,6/1/2007,14064
PT-71848,Vitamins,7/1/2007,14899
PT-71848,Vitamins,8/1/2007,11276
PT-71848,Vitamins,9/1/2007,11000
PT-71848,Vitamins,10/1/2007,9049
PT-71848,Vitamins,11/1/2007,14300
PT-71848,Vitamins,12/1/2007,2836
PT-71849,Memory Pills,1/1/2007,308
PT-71849,Memory Pills,2/1/2007,1200
PT-71849,Memory Pills,3/1/2007,1740
PT-71849,Memory Pills,4/1/2007,1260
PT-71849,Memory Pills,5/1/2007,1740
PT-71849,Memory Pills,6/1/2007,2050
PT-71849,Memory Pills,7/1/2007,1680
PT-71849,Memory Pills,8/1/2007,888
PT-71849,Memory Pills,9/1/2007,1124
PT-71849,Memory Pills,10/1/2007,1674
PT-71849,Memory Pills,11/1/2007,2022
PT-71849,Memory Pills,12/1/2007,208
PT-71850,Vitamins,1/1/2007,4650
PT-71850,Vitamins,2/1/2007,15765
PT-71850,Vitamins,3/1/2007,7300
PT-71850,Vitamins,4/1/2007,7500
PT-71850,Vitamins,5/1/2007,20190
PT-71850,Vitamins,6/1/2007,11776
PT-71850,Vitamins,7/1/2007,9260
PT-71850,Vitamins,8/1/2007,19000
PT-71850,Vitamins,9/1/2007,16804
PT-71850,Vitamins,10/1/2007,22334
PT-71850,Vitamins,11/1/2007,48192
PT-71850,Vitamins,12/1/2007,7162
PT-71851,Vitamins,1/1/2007,7802
PT-71851,Vitamins,2/1/2007,12120
PT-71851,Vitamins,3/1/2007,7427
PT-71851,Vitamins,4/1/2007,7031
PT-71851,Vitamins,5/1/2007,12500
PT-71851,Vitamins,6/1/2007,12306
PT-71851,Vitamins,7/1/2007,15796
PT-71851,Vitamins,8/1/2007,16500
PT-71851,Vitamins,9/1/2007,31000
PT-71851,Vitamins,10/1/2007,22000
PT-71851,Vitamins,11/1/2007,26901
PT-71851,Vitamins,12/1/2007,9027
PT-72140,Heart related,1/1/2007,1651
PT-72140,Heart related,2/1/2007,3309
PT-72140,Heart related,3/1/2007,2474
PT-72140,Heart related,4/1/2007,2500
PT-72140,Heart related,5/1/2007,5010
PT-72140,Heart related,6/1/2007,2253
PT-72140,Heart related,7/1/2007,2370
PT-72140,Heart related,8/1/2007,2256
PT-72140,Heart related,9/1/2007,2199
PT-72140,Heart related,10/1/2007,2296
PT-72140,Heart related,11/1/2007,5017
PT-72140,Heart related,12/1/2007,2000
PT-72142,Pain Killer,1/1/2007,1600
PT-72142,Pain Killer,2/1/2007,2131
PT-72142,Pain Killer,3/1/2007,2119
PT-72142,Pain Killer,4/1/2007,2327
PT-72142,Pain Killer,5/1/2007,2188
PT-72142,Pain Killer,6/1/2007,1431
PT-72142,Pain Killer,7/1/2007,2002
PT-72142,Pain Killer,8/1/2007,2103
PT-72142,Pain Killer,9/1/2007,2828
PT-72142,Pain Killer,10/1/2007,2894
PT-72142,Pain Killer,11/1/2007,5113
PT-72142,Pain Killer,12/1/2007,846
PT-72143,Pain Killer,1/1/2007,1785
PT-72143,Pain Killer,2/1/2007,3420
PT-72143,Pain Killer,3/1/2007,2500
PT-72143,Pain Killer,4/1/2007,1900
PT-72143,Pain Killer,5/1/2007,2345
PT-72143,Pain Killer,6/1/2007,2389
PT-72143,Pain Killer,7/1/2007,2200
PT-72143,Pain Killer,8/1/2007,1852
PT-72143,Pain Killer,9/1/2007,2090
PT-72143,Pain Killer,10/1/2007,2707
PT-72143,Pain Killer,11/1/2007,3818
PT-72143,Pain Killer,12/1/2007,1500
PT-78527,Acidity,1/1/2007,1424
PT-78527,Acidity,2/1/2007,1650
PT-78527,Acidity,3/1/2007,2594
PT-78527,Acidity,4/1/2007,1734
PT-78527,Acidity,5/1/2007,2181
PT-78527,Acidity,6/1/2007,3037
PT-78527,Acidity,7/1/2007,2787
PT-78527,Acidity,8/1/2007,1905
PT-78527,Acidity,9/1/2007,4286
PT-78527,Acidity,10/1/2007,2790
PT-78527,Acidity,11/1/2007,3000
PT-78527,Acidity,12/1/2007,1500
PT-83183,Stomach pain killers,1/1/2007,19000
PT-83183,Stomach pain killers,2/1/2007,26999
PT-83183,Stomach pain killers,3/1/2007,31955
PT-83183,Stomach pain killers,4/1/2007,26179
PT-83183,Stomach pain killers,5/1/2007,1302
PT-83183,Stomach pain killers,6/1/2007,50105
PT-83183,Stomach pain killers,7/1/2007,28173
PT-83183,Stomach pain killers,8/1/2007,25113
PT-83183,Stomach pain killers,9/1/2007,34339
PT-83183,Stomach pain killers,10/1/2007,28007
PT-83183,Stomach pain killers,11/1/2007,36645
PT-83183,Stomach pain killers,12/1/2007,17482
PT-84475,Douche bag,1/1/2007,4897
PT-84475,Douche bag,2/1/2007,5624
PT-84475,Douche bag,3/1/2007,3969
PT-84475,Douche bag,4/1/2007,3879
PT-84475,Douche bag,5/1/2007,8000
PT-84475,Douche bag,6/1/2007,4115
PT-84475,Douche bag,7/1/2007,6000
PT-84475,Douche bag,8/1/2007,7359
PT-84475,Douche bag,9/1/2007,6655
PT-84475,Douche bag,10/1/2007,4500
PT-84475,Douche bag,11/1/2007,8000
PT-84475,Douche bag,12/1/2007,3000
PT-84822,Muscle Relaxing,1/1/2007,2391
PT-84822,Muscle Relaxing,2/1/2007,3388
PT-84822,Muscle Relaxing,3/1/2007,2497
PT-84822,Muscle Relaxing,4/1/2007,2930
PT-84822,Muscle Relaxing,5/1/2007,5914
PT-84822,Muscle Relaxing,6/1/2007,4464
PT-84822,Muscle Relaxing,7/1/2007,3173
PT-84822,Muscle Relaxing,8/1/2007,6062
PT-84822,Muscle Relaxing,9/1/2007,6728
PT-84822,Muscle Relaxing,10/1/2007,4222
PT-84822,Muscle Relaxing,11/1/2007,6419
PT-84822,Muscle Relaxing,12/1/2007,2213
PT-84861,Antiflatulent,1/1/2007,23561
PT-84861,Antiflatulent,2/1/2007,41602
PT-84861,Antiflatulent,3/1/2007,41784
PT-84861,Antiflatulent,4/1/2007,35152
PT-84861,Antiflatulent,5/1/2007,32243
PT-84861,Antiflatulent,6/1/2007,33011
PT-84861,Antiflatulent,7/1/2007,38931
PT-84861,Antiflatulent,8/1/2007,39553
PT-84861,Antiflatulent,9/1/2007,50070
